,WOJ. DOLNOŚLĄSKIE  (93 miasta  towns),,,,,,,,
022401 4,Bardo,Ząbkowicki,471,5,2309,490,777,808,
020201 1,Bielawa,Dzierżoniowski,3621,36,28027,774,138,158,
021402 4,Bierutów,Oleśnicki,836,8,4459,533,627,591,
022503 4,Bogatynia,Zgorzelecki,5994,60,16020,267,73,265,
022101 1,Boguszów-Gorce,Wałbrzyski,2702,27,14166,524,211,300,
020101 1,Bolesławiec,Bolesławiecki,2285,23,37055,1622,252,113,
020502 4,Bolków,Jaworski,769,7,4632,602,654,582,
022201 4,Brzeg Dolny,Wołowski,1859,18,12536,674,327,333,
020806 4,Bystrzyca Kłodzka,Kłodzki,1074,11,8939,832,547,421,
021601 4,Chocianów,Polkowicki,900,9,7356,817,604,457,
020901 1,Chojnów,Legnicki,532,5,12361,2323,748,336,
020801 1,Duszniki-Zdrój,Kłodzki,2228,22,4001,180,262,629,
020202 1,Dzierżoniów,Dzierżoniowski,2007,20,30614,1525,302,144,
020301 1,Głogów,Głogowski,3512,35,62049,1767,144,60,
022105 4,Głuszyca,Wałbrzyski,1621,16,5924,365,382,512,
020401 4,Góra,Górowski,1365,14,10700,784,449,364,
021201 4,Gryfów Śląski,Lwówecki,663,7,6104,921,700,504,
020501 1,Jawor,Jaworski,1880,19,20503,1091,322,203,
021904 4,Jaworzyna Śląska,Świdnicki,434,4,5035,1160,796,561,
022102 1,Jedlina-Zdrój,Wałbrzyski,1744,18,4623,265,350,583,
021503 4,Jelcz-Laskowice,Oławski,1706,17,15004,879,359,285,
026101 1,Jelenia Góra,Jelenia Góra,10930,109,75124,687,28,46,
022403 4,Kamieniec Ząbkowicki,Ząbkowicki,1299,13,4309,332,470,604,
020701 1,Kamienna Góra,Kamiennogórski,1804,18,17110,948,337,243,
020601 1,Karpacz,Karkonoski,3799,38,4208,111,124,610,
022304 4,Kąty Wrocławskie,Wrocławski,861,9,7168,833,617,464,
020802 1,Kłodzko,Kłodzki,2484,25,24810,999,233,173,
020602 1,Kowary,Karkonoski,3739,37,9745,261,127,390,
020803 1,Kudowa-Zdrój,Kłodzki,3390,34,9280,274,150,409,
020808 4,Lądek-Zdrój,Kłodzki,2032,20,4946,243,295,567,
026201 1,Legnica,Legnica,5629,56,91948,1633,78,39,
021003 4,Leśna,Lubański,856,9,3995,467,620,630,
021001 1,Lubań,Lubański,1612,16,19545,1212,384,212,
020703 4,Lubawka,Kamiennogórski,2244,22,5536,247,257,529,
021101 1,Lubin,Lubiński,4076,41,67620,1659,106,51,
021202 4,Lubomierz,Lwówecki,805,8,1775,220,641,868,
021203 4,Lwówek Śląski,Lwówecki,1664,17,8132,489,371,440,
022106 4,Mieroszów,Wałbrzyski,1032,10,3729,361,558,650,
021405 4,Międzybórz,Oleśnicki,641,6,2314,361,709,806,
020810 4,Międzylesie,Kłodzki,1437,14,2375,165,429,800,
021803 4,Miękinia,Średzki,1105,11,2094,190,536,829,
021303 4,Milicz,Milicki,1351,14,10771,797,454,362,
021204 4,Mirsk,Lwówecki,1466,15,3619,247,422,662,
020207 4,Niemcza,Dzierżoniowski,1981,20,2683,135,307,758,
020804 1,Nowa Ruda,Kłodzki,3705,37,20421,551,129,205,
020104 4,Nowogrodziec,Bolesławiecki,1610,16,4102,255,385,619,
022001 4,Oborniki Śląskie,Trzebnicki,1441,14,8990,624,428,419,
021401 1,Oleśnica,Oleśnicki,2096,21,35132,1676,282,122,
021005 4,Olszyna,Lubański,2030,20,4288,211,297,606,
021501 1,Oława,Oławski,2736,27,33166,1212,207,131,
020603 1,Piechowice,Karkonoski,4317,43,5743,133,101,521,
022504 4,Pieńsk,Zgorzelecki,992,10,5454,550,571,534,
020203 4,Pieszyce,Dzierżoniowski,1772,18,6765,382,345,477,
020204 1,Piława Górna,Dzierżoniowski,2093,21,5904,282,283,513,
020805 1,Polanica-Zdrój,Kłodzki,1722,17,5937,345,354,509,
021604 4,Polkowice,Polkowicki,2374,24,21350,899,240,194,
020907 4,Prochowice,Legnicki,985,10,3496,355,574,672,
022002 4,Prusice,Trzebnicki,1094,11,2144,196,541,822,
021605 4,Przemków,Polkowicki,617,6,5598,907,716,526,
020812 4,Radków,Kłodzki,1507,15,2245,149,410,815,
022308 4,Siechnice,Wrocławski,1565,16,10991,702,397,358,
022307 4,Sobótka,Wrocławski,3219,32,7022,218,168,471,
020813 4,Stronie Śląskie,Kłodzki,239,2,4992,2089,848,565,
021906 4,Strzegom,Świdnicki,2049,21,14940,729,292,287,
021704 4,Strzelin,Strzeliński,1274,13,11936,937,478,345,
021407 4,Syców,Oleśnicki,1706,17,9938,583,359,383,
022103 1,Szczawno-Zdrój,Wałbrzyski,1481,15,5240,354,417,549,
020814 4,Szczytna,Kłodzki,8038,80,4788,60,51,576,
020604 1,Szklarska Poręba,Karkonoski,7544,75,5776,77,57,519,
021104 4,Ścinawa,Lubiński,1354,13,5251,388,452,547,
021804 4,Środa Śląska,Średzki,1494,15,9540,639,415,396,
021901 1,Świdnica,Świdnicki,2176,22,52874,2430,273,79,
021902 1,Świebodzice,Świdnicki,3044,30,21805,716,176,190,
021002 1,Świeradów-Zdrój,Lubański,2072,21,3960,191,286,633,
022604 4,Świerzawa,Złotoryjski,176,2,2003,1138,868,844,
022003 4,Trzebnica,Trzebnicki,1061,11,13655,1287,551,307,
021408 4,Twardogóra,Oleśnicki,829,8,6177,745,631,498,
026501 1,Wałbrzych,Wałbrzych,8468,85,100294,1184,42,37,
020404 4,Wąsosz,Górowski,325,3,2551,785,832,774,
022506 4,Węgliniec,Zgorzelecki,872,9,2662,305,614,761,
021705 4,Wiązów,Strzeliński,916,9,2254,246,599,814,
021205 4,Wleń,Lwówecki,722,7,1569,217,673,898,
022601 1,Wojcieszów,Złotoryjski,3218,32,3431,107,169,682,
022203 4,Wołów,Wołowski,1854,19,12010,648,328,343,
026401 1,Wrocław,Wrocław,29280,293,673743,2301,7,3,
022501 1,Zawidów,Zgorzelecki,607,6,3761,620,720,648,
022405 4,Ząbkowice Śląskie,Ząbkowicki,1366,14,14240,1042,448,298,
022502 1,Zgorzelec,Zgorzelecki,1588,16,28931,1822,390,150,
022406 4,Ziębice,Ząbkowicki,1508,15,7981,529,409,447,
022602 1,Złotoryja,Złotoryjski,1151,12,14168,1231,519,299,
022407 4,Złoty Stok,Ząbkowicki,773,8,2432,315,653,787,
021908 4,Żarów,Świdnicki,757,8,6424,849,660,488,
022006 4,Żmigród,Trzebnicki,949,10,6177,651,589,498,
,WOJ. KUJAWSKO-POMORSKIE  (56 miast  towns),,,,,,,,
040101 1,Aleksandrów Kujawski,Aleksandrowski,723,7,11474,1587,672,353,
041901 4,Barcin,Żniński,370,4,6926,1872,815,474,
040802 4,Bobrowniki,Lipnowski,588,6,1122,191,728,942,
040201 1,Brodnica,Brodnicki,2315,23,28190,1218,249,156,
041804 4,Brześć Kujawski,Włocławski,704,7,4525,643,681,587,
046101 1,Bydgoszcz,Bydgoszcz,17596,176,326434,1855,12,9,
040401 1,Chełmno,Chełmiński,1356,14,18052,1331,451,228,
041501 1,Chełmża,Toruński,784,8,13691,1746,649,306,
041806 4,Chodecz,Włocławski,190,2,1705,897,865,882,
040102 1,Ciechocinek,Aleksandrowski,1531,15,10153,663,404,380,
040804 4,Dobrzyń nad Wisłą,Lipnowski,653,6,1962,300,704,852,
041902 4,Gąsawa,Żniński,693,7,1385,200,687,917,
040703 4,Gniewkowo,Inowrocławski,918,9,6677,727,598,480,
040501 1,Golub-Dobrzyń,Golubsko-dobrzyński,750,8,11261,1501,663,356,
040205 4,Górzno,Brodnicki,343,4,1391,406,824,915,
046201 1,Grudziądz,Grudziądz,5776,58,88658,1535,76,40,
040701 1,Inowrocław,Inowrocławski,3042,30,67378,2215,177,52,
041808 4,Izbica Kujawska,Włocławski,224,2,2460,1098,857,784,
040207 4,Jabłonowo Pomorskie,Brodnicki,335,3,3648,1089,828,657,
040705 4,Janikowo,Inowrocławski,951,10,8136,856,588,439,
041903 4,Janowiec Wielkopolski,Żniński,304,3,3675,1209,838,655,
041301 4,Kamień Krajeński,Sępoleński,365,4,2321,636,817,804,
041001 4,Kcynia,Nakielski,684,7,4238,620,693,609,
040805 4,Kikół,Lipnowski,401,4,2038,508,805,834,
040304 4,Koronowo,Bydgoski,2818,28,10743,381,194,363,
041801 1,Kowal,Włocławski,468,5,3278,700,778,698,
040504 4,Kowalewo Pomorskie,Golubsko-dobrzyński,445,4,4063,913,791,624,
040706 4,Kruszwica,Inowrocławski,1024,10,9070,886,561,415,
040801 1,Lipno,Lipnowski,1100,11,13380,1216,537,314,
041811 4,Lubień Kujawski,Włocławski,236,2,1313,556,851,927,
041812 4,Lubraniec,Włocławski,195,2,2696,1383,863,756,
041904 4,Łabiszyn,Żniński,289,3,4352,1506,842,596,
040603 4,Łasin,Grudziądzki,479,5,3060,639,772,712,
040903 4,Mogilno,Mogileński,832,8,10972,1319,629,359,
041002 4,Mrocza,Nakielski,501,5,4129,824,762,614,
041003 4,Nakło nad Notecią,Nakielski,1082,11,17002,1571,544,245,
040103 1,Nieszawa,Aleksandrowski,977,10,1740,178,575,874,
041406 4,Nowe,Świecki,348,3,5413,1555,822,537,
040707 4,Pakość,Inowrocławski,344,3,5136,1493,823,553,
041105 4,Piotrków Kujawski,Radziejowski,975,10,4185,429,576,612,
041408 4,Pruszcz,Świecki,706,7,2759,391,679,744,
041101 1,Radziejów,Radziejowski,569,6,5055,888,737,560,
040604 4,Radzyń Chełmiński,Grudziądzki,178,2,1795,1008,867,866,
041201 1,Rypin,Rypiński,1096,11,15379,1403,539,280,
041302 4,Sępólno Krajeńskie,Sępoleński,656,7,8720,1329,703,424,
040807 4,Skępe,Lipnowski,748,8,3415,457,664,684,
040308 4,Solec Kujawski,Bydgoski,1868,19,15249,816,325,283,
040904 4,Strzelno,Mogileński,446,5,5230,1173,790,551,
041005 4,Szubin,Nakielski,765,8,9402,1229,657,403,
041409 4,Świecie,Świecki,1650,17,24841,1506,374,172,
046301 1,Toruń,Toruń,11572,116,194771,1683,24,16,
041606 4,Tuchola,Tucholski,1769,18,12969,733,347,322,
041701 1,Wąbrzeźno,Wąbrzeski,853,9,12892,1511,621,325,
041304 4,Więcbork,Sępoleński,431,4,5619,1304,797,524,
046401 1,Włocławek,Włocławek,8509,85,100807,1185,41,35,
041906 4,Żnin,Żniński,835,8,13040,1562,628,318,
,WOJ. LUBELSKIE  (54 miasta  towns),,,,,,,,
060702 4,Annopol,Kraśnicki,773,8,2300,298,653,810,
060901 4,Bełżyce,Lubelski,2346,23,5936,253,244,510,
066101 1,Biała Podlaska,Biała Podlaska,4940,49,54453,1102,88,74,
060201 1,Biłgoraj,Biłgorajski,2110,21,24769,1174,277,174,
060903 4,Bychawa,Lubelski,669,7,4476,669,697,590,
066201 1,Chełm,Chełm,3997,40,57214,1431,112,69,
061503 4,Czemierniki,Radzyński,465,4,1304,280,780,929,
061601 1,Dęblin,Rycki,3833,38,14132,369,119,301,
060205 4,Frampol,Biłgorajski,467,5,1330,285,779,923,
060206 4,Goraj,Biłgorajski,764,8,896,117,658,967,
060401 1,Hrubieszów,Hrubieszowski,3303,33,15935,482,159,268,
060604 4,Izbica,Krasnostawski,946,9,1684,178,590,886,
060505 4,Janów Lubelski,Janowski,1480,15,10894,736,418,361,
060207 4,Józefów,Biłgorajski,500,5,2319,464,763,805,
061202 4,Józefów nad Wisłą,Opolski,365,4,803,220,817,976,
060805 4,Kamionka,Lubartowski,589,6,1714,291,727,878,
061404 4,Kazimierz Dolny,Puławski,3044,30,3239,106,176,700,
060806 4,Kock,Lubartowski,1678,17,2870,171,368,732,
062004 4,Krasnobród,Zamojski,699,7,2967,424,684,722,
060601 1,Krasnystaw,Krasnostawski,4213,42,17366,412,103,237,
060701 1,Kraśnik,Kraśnicki,2610,26,31296,1199,222,142,
060801 1,Lubartów,Lubartowski,1392,14,19734,1418,441,209,
066301 1,Lublin,Lublin,14746,147,329565,2235,18,8,
061805 4,Lubycza Królewska,Tomaszowski,390,4,2142,549,809,823,
061806 4,Łaszczów,Tomaszowski,504,5,1961,389,760,853,
061003 4,Łęczna,Łęczyński,1900,19,17665,930,319,234,
061101 1,Łuków,Łukowski,3575,36,27159,760,141,162,
060101 1,Międzyrzec Podlaski,Bialski,2003,20,15389,768,303,279,
060506 4,Modliborzyce,Janowski,789,8,1416,179,647,912,
061408 4,Nałęczów,Puławski,1383,14,3611,261,444,664,
061205 4,Opole Lubelskie,Opolski,1512,15,7864,520,408,450,
060810 4,Ostrów Lubelski,Lubartowski,2977,30,1964,66,185,851,
061304 4,Parczew,Parczewski,805,8,10185,1265,641,378,
061703 4,Piaski,Świdnicki,843,8,2416,287,625,789,
060111 4,Piszczac,Bialski,330,3,2091,634,830,830,
061206 4,Poniatowa,Opolski,1526,15,8246,540,405,436,
061401 1,Puławy,Puławski,5049,51,43860,869,84,97,
061501 1,Radzyń Podlaski,Radzyński,1931,19,14293,740,314,297,
060315 4,Rejowiec,Chełmski,651,6,1982,304,706,847,
060301 1,Rejowiec Fabryczny,Chełmski,1428,14,4003,280,434,628,
061604 4,Ryki,Rycki,2722,27,8985,330,209,420,
060311 4,Siedliszcze,Chełmski,1315,13,1325,101,467,925,
061102 1,Stoczek Łukowski,Łukowski,915,9,2362,258,600,802,
